year_plan_id	file_name	storage_path	db_file_size	storage_size	etag	parse_status	enabled
35684545-da5b-45c9-93b5-ed0f64526159	CBSE Class VII TG Year Plans 2026 - 27.pdf	1786345142422-CBSE_Class_VII_TG_Year_Plans_2026_-_27.pdf	83909	83909	842992eb0653435f45a6619451e88cc6	parsed	true
10acb681-3a95-4cba-9bbf-424a7e8d6e64	CBSE Class VIII TG Year Plans 2026 - 27.pdf	1786293550059-CBSE_Class_VIII_TG_Year_Plans_2026_-_27.pdf	746341	746341	4409014d10247943d16789c4d5538427	parsed	true
8cab3c11-508c-44b5-b70c-6593c51c73a4	CBSE Class VIII TG Year Plans 2026 - 27.pdf	1786345189093-CBSE_Class_VIII_TG_Year_Plans_2026_-_27.pdf	50294	50294	50df0e9e830c9d985788e3e496f049f4	parsed	true
2b217d34-4b71-4d90-9422-e2ab9c5bcf86	CBSE Class X TG Year Plans 2026 - 27.pdf	1786293558849-CBSE_Class_X_TG_Year_Plans_2026_-_27.pdf	488511	488511	3e893d89bac0c42fa0c69cd1d9e42d40	parsed	true
fd7453c9-1184-4f42-ba41-506ffea047ef	CBSE Class X TG Year Plans 2026 - 27.pdf	1786345252690-CBSE_Class_X_TG_Year_Plans_2026_-_27.pdf	278832	278832	6dbd8b95d37a338a6ae4fb0db684f0f2	parsed	true
99f03220-931d-4b78-84ce-682509afed95	CBSE Lead chemistry L2 Year Plans 2026 - 27 TG.pdf	1786293585710-CBSE_Lead_chemistry_L2_Year_Plans_2026_-_27_TG.pdf	185246	185246	1c11e636e9fcda7f13120f3520b885ed	parsed	true
574432e1-0c0a-4da0-ac1d-1536174a7529	CBSE Lead chemistry L3 Year Plans 2026 - 27 TG.pdf	1786293583901-CBSE_Lead_chemistry_L3_Year_Plans_2026_-_27_TG.pdf	213694	213694	45567c903463beae950b1e8806c89c44	parsed	true
2ec4e1bd-28fc-47b3-ba5e-a4ca331af8c3	CBSE Lead chemistry L4 Year Plans 2026 - 27 TG.pdf	1786293581794-CBSE_Lead_chemistry_L4_Year_Plans_2026_-_27_TG.pdf	255168	255168	4f408ef619d702a7da05ef538d0b0135	parsed	true
796e8b55-24f3-4b98-b96c-b7ab8bccf247	CBSE Lead chemistry L5 Year Plans 2026 - 27 TG.pdf	1786293579878-CBSE_Lead_chemistry_L5_Year_Plans_2026_-_27_TG.pdf	214279	214279	35c9f1cf62199dc981e8d0958c7d30b4	parsed	true
756d8d78-e91c-4f92-99b8-15cd55473335	CBSE Techno chemistry IX Year Plans 2026 - 27 TG.pdf	1786293497616-CBSE_Techno_chemistry_IX_Year_Plans_2026_-_27_TG.pdf	185653	185653	fdbee4d1b9194cf608517c1c7a427e57	parsed	true
2b7ecfef-42ac-4153-a94a-3d851490adb7	CBSE Techno chemistry VI Year Plans 2026 - 27 TG.pdf	1786293492039-CBSE_Techno_chemistry_VI_Year_Plans_2026_-_27_TG.pdf	216754	216754	6137acdd6fe2e24eb8d6fa10c6e4832a	parsed	true
fa23e304-a24a-415c-9b4d-094d078a59a9	CBSE Techno chemistry VII Year Plans 2026 - 27 TG.pdf	1786293493832-CBSE_Techno_chemistry_VII_Year_Plans_2026_-_27_TG.pdf	257690	257690	47bc47229e5803609dd8517ac3ef1700	parsed	true
5221b09d-9563-4708-805a-8c0d1f19d234	CBSE Techno chemistry VIII Year Plans 2026 - 27 TG.pdf	1786293495912-CBSE_Techno_chemistry_VIII_Year_Plans_2026_-_27_TG.pdf	214072	214072	1c28cea6ab106832ff6f45f4825500e4	parsed	true
aad49d58-154d-4336-acf9-d251880cad10	CBSE Techno chemistry X Year Plans 2026 - 27 TG.pdf	1786293499603-CBSE_Techno_chemistry_X_Year_Plans_2026_-_27_TG.pdf	228528	228528	5b906e5b64065521de84db92797e2cf8	parsed	true
